t,Ta,F(Ta)
0,273.15,0.379862
1,274.15,0.351812
2,275.15,0.324268
3,276.15,0.297221
4,277.15,0.270665
5,278.15,0.244592
6,279.15,0.218992
7,280.15,0.193858
8,281.15,0.169179
9,282.15,0.144947
10,283.15,0.12115
11,284.15,0.09778
12,285.15,0.074826
13,286.15,0.052277
14,287.15,0.030122
15,288.15,0.008351
16,289.15,-0.013048
17,290.15,-0.034085
18,291.15,-0.054773
19,292.15,-0.075122
20,293.15,-0.095143
21,294.15,-0.114849
22,295.15,-0.13425
23,296.15,-0.153359
24,297.15,-0.172185
25,298.15,-0.190742
26,299.15,-0.20904
27,300.15,-0.227091
28,301.15,-0.244906
29,302.15,-0.262496
30,303.15,-0.279873
31,304.15,-0.297048
32,305.15,-0.314031
33,306.15,-0.330834
34,307.15,-0.347467
35,308.15,-0.363942
36,309.15,-0.380268
37,310.15,-0.396457
38,311.15,-0.412519
39,312.15,-0.428463
40,313.15,-0.444301
