Iteration,Xl,Xu,Xr,Relative Apporximate Error
1,0,40,20,
2,0,20,10,3.531697
3,10,20,15,1.7352074
4,15,20,17.5,0.8601411
5,15,17.5,16.25,0.4319281
6,15,16.25,15.625,0.2164315
7,15,15.625,15.3125,0.108333
8,15.3125,15.625,15.46875,0.0541372
9,15.3125,15.46875,15.390625,0.0270759
10,15.3125,15.390625,15.351562,0.0135398
11,15.351562,15.390625,15.371094,0.0067694
12,15.371094,15.390625,15.380859,0.0033846
13,15.380859,15.390625,15.385742,0.0016923
14,15.385742,15.390625,15.388184,0.0008461
15,15.388184,15.390625,15.389404,0.0004231
16,15.388184,15.389404,15.388794,0.0002115
17,15.388184,15.388794,15.388489,0.0001058
18,15.388184,15.388489,15.388336,0.0000529
19,15.388184,15.388336,15.38826,0.0000264
20,15.388184,15.38826,15.388222,0.0000132
21,15.388184,15.388222,15.388203,0.0000066
22,15.388203,15.388222,15.388212,0.0000033
23,15.388203,15.388212,15.388207,0.0000017
24,15.388207,15.388212,15.38821,0.0000008
