t	Ta	F(Ta)
0	273.15	0.603006
1	274.15	0.574956
2	275.15	0.547411
3	276.15	0.520365
4	277.15	0.493809
5	278.15	0.467735
6	279.15	0.442136
7	280.15	0.417001
8	281.15	0.392323
9	282.15	0.368090
10	283.15	0.344294
11	284.15	0.320924
12	285.15	0.297970
13	286.15	0.275420
14	287.15	0.253266
15	288.15	0.231494
16	289.15	0.210096
17	290.15	0.189058
18	291.15	0.168371
19	292.15	0.148022
20	293.15	0.128000
21	294.15	0.108295
22	295.15	0.088893
23	296.15	0.069785
24	297.15	0.050958
25	298.15	0.032401
26	299.15	0.014103
27	300.15	-0.003948
28	301.15	-0.021763
29	302.15	-0.039353
30	303.15	-0.056730
31	304.15	-0.073904
32	305.15	-0.090887
33	306.15	-0.107690
34	307.15	-0.124323
35	308.15	-0.140798
36	309.15	-0.157124
37	310.15	-0.173313
38	311.15	-0.189375
39	312.15	-0.205320
40	313.15	-0.221158
