Iteration	Xl	Xu	Xr	Relative Apporximate Error
1	0.000000	40.000000	20.000000
2	20.000000	40.000000	30.000000	3.2986970
3	20.000000	30.000000	25.000000	1.6770082
4	25.000000	30.000000	27.500000	0.8315317
5	25.000000	27.500000	26.250000	0.4175017
6	26.250000	27.500000	26.875000	0.2083160
7	26.250000	26.875000	26.562500	0.1042666
8	26.562500	26.875000	26.718750	0.0521061
9	26.718750	26.875000	26.796875	0.0260463
10	26.718750	26.796875	26.757812	0.0130248
11	26.757812	26.796875	26.777344	0.0065120
12	26.777344	26.796875	26.787109	0.0032559
13	26.777344	26.787109	26.782227	0.0016280
14	26.777344	26.782227	26.779785	0.0008140
15	26.779785	26.782227	26.781006	0.0004070
16	26.779785	26.781006	26.780396	0.0002035
17	26.779785	26.780396	26.780090	0.0001017
18	26.780090	26.780396	26.780243	0.0000509
19	26.780090	26.780243	26.780167	0.0000254
20	26.780090	26.780167	26.780128	0.0000127
21	26.780128	26.780167	26.780148	0.0000064
22	26.780148	26.780167	26.780157	0.0000032
23	26.780157	26.780167	26.780162	0.0000016
24	26.780162	26.780167	26.780164	0.0000008
