Iteration	Xl	Xu	Xr	F(Xr)	Relative Apporximate Error
1	1.000000	3.000000	2.000000	0.223891
2	2.000000	3.000000	2.500000	-0.048383776	20.0000000
3	2.000000	2.500000	2.250000	0.082749851	11.1111111
4	2.250000	2.500000	2.375000	0.015578373	5.2631579
5	2.375000	2.500000	2.437500	-0.016845653	2.5641026
6	2.375000	2.437500	2.406250	-0.000739276	1.2987013
7	2.375000	2.406250	2.390625	0.007393788	0.6535948
8	2.390625	2.406250	2.398438	0.003320734	0.3257329
9	2.398438	2.406250	2.402344	0.001289088	0.1626016
10	2.402344	2.406250	2.404297	0.000274494	0.0812348
11	2.404297	2.406250	2.405273	-0.000232494	0.0406009
12	2.404297	2.405273	2.404785	0.000020974	0.0203046
13	2.404785	2.405273	2.405029	-0.000105766	0.0101513
14	2.404785	2.405029	2.404907	-0.000042397	0.0050759
15	2.404785	2.404907	2.404846	-0.000010712	0.0025380
16	2.404785	2.404846	2.404816	0.000005131	0.0012690
17	2.404816	2.404846	2.404831	-0.000002790	0.0006345
18	2.404816	2.404831	2.404823	0.000001170	0.0003173
19	2.404823	2.404831	2.404827	-0.000000810	0.0001586
20	2.404823	2.404827	2.404825	0.000000180	0.0000793
21	2.404825	2.404827	2.404826	-0.000000315	0.0000397
22	2.404825	2.404826	2.404826	-0.000000067	0.0000198
23	2.404825	2.404826	2.404825	0.000000056	0.0000099
24	2.404825	2.404826	2.404826	-0.000000005	0.0000050
25	2.404825	2.404826	2.404826	0.000000025	0.0000025
26	2.404826	2.404826	2.404826	0.000000010	0.0000012
27	2.404826	2.404826	2.404826	0.000000002	0.0000006
