x	J(x)
0.00	0.000000
0.10	0.049938
0.20	0.099501
0.30	0.148319
0.40	0.196027
0.50	0.242268
0.60	0.286701
0.70	0.328996
0.80	0.368842
0.90	0.405950
1.00	0.440051
1.10	0.470902
1.20	0.498289
1.30	0.522023
1.40	0.541948
1.50	0.557937
1.60	0.569896
1.70	0.577765
1.80	0.581517
1.90	0.581157
2.00	0.576725
2.10	0.568292
2.20	0.555963
2.30	0.539873
2.40	0.520185
2.50	0.497094
2.60	0.470818
2.70	0.441601
2.80	0.409709
2.90	0.375427
3.00	0.339059
3.10	0.300921
3.20	0.261343
3.30	0.220663
3.40	0.179226
3.50	0.137378
3.60	0.095466
3.70	0.053834
3.80	0.012821
3.90	-0.027244
4.00	-0.066043
4.10	-0.103273
4.20	-0.138647
4.30	-0.171897
4.40	-0.202776
4.50	-0.231060
4.60	-0.256553
4.70	-0.279081
4.80	-0.298500
4.90	-0.314695
5.00	-0.327579
5.10	-0.337097
5.20	-0.343223
5.30	-0.345961
5.40	-0.345345
5.50	-0.341438
5.60	-0.334333
5.70	-0.324148
5.80	-0.311028
5.90	-0.295142
6.00	-0.276684
6.10	-0.255865
6.20	-0.232917
6.30	-0.208087
6.40	-0.181638
6.50	-0.153841
6.60	-0.124980
6.70	-0.095342
6.80	-0.065219
6.90	-0.034902
7.00	-0.004683
7.10	0.025153
7.20	0.054327
7.30	0.082570
7.40	0.109625
7.50	0.135248
7.60	0.159214
7.70	0.181313
7.80	0.201357
7.90	0.219179
8.00	0.234636
8.10	0.247608
8.20	0.257999
8.30	0.265739
8.40	0.270786
8.50	0.273122
8.60	0.272755
8.70	0.269719
8.80	0.264074
8.90	0.255902
9.00	0.245312
9.10	0.232431
9.20	0.217409
9.30	0.200414
9.40	0.181632
9.50	0.161264
9.60	0.139525
9.70	0.116639
9.80	0.092840
9.90	0.068370
10.00	0.043473
