2.50000000 -1.00000000 4.88235294 5.358233258701
-1.00000000 4.88235294 6.48704663 120.48192771 52.495786304101
4.88235294 6.48704663 4.69994375 24.73689156 3.282444800481
6.48704663 4.69994375 4.58074707 38.02392076 2.219469895649
4.69994375 4.58074707 4.33186685 2.60212300 0.697364009984
4.58074707 4.33186685 4.21784055 5.74533400 0.295064547647
4.33186685 4.21784055 4.13420852 2.70342850 0.110488919808
4.21784055 4.13420852 4.08414551 2.02292717 0.043078588667
4.13420852 4.08414551 4.05215273 1.22578920 0.016461291696
4.08414551 4.05215273 4.03236700 0.78952557 0.006319645088
4.05215273 4.03236700 4.02003776 0.49067272 0.002417117553
4.03236700 4.02003776 4.01240138 0.30669454 0.000924672188
4.02003776 4.01240138 4.00767011 0.19031964 0.000353434901
4.01240138 4.00767011 4.00474279 0.11805527 0.000135071106
4.00767011 4.00474279 4.00293207 0.07309633 0.000051607354
4.00474279 4.00293207 4.00181246 0.04523492 0.000019716043
4.00293207 4.00181246 4.00112029 0.02797751 0.000007531710
4.00181246 4.00112029 4.00069243 0.01729942 0.000002877065
4.00112029 4.00069243 4.00042796 0.01069473 0.000001098989
4.00069243 4.00042796 4.00026450 0.00661091 0.000000419788
4.00042796 4.00026450 4.00016347 0.00408623 0.000000160347
4.00026450 4.00016347 4.00010103 0.00252560 0.000000061248
4.00016347 4.00010103 4.00006244 0.00156097 0.000000023395
4.00010103 4.00006244 4.00003859 0.00096476 0.000000008936
4.00006244 4.00003859 4.00002385 0.00059626 0.000000003413
4.00003859 4.00002385 4.00001474 0.00036852 0.000000001304
4.00002385 4.00001474 4.00000911 0.00022776 0.000000000498
4.00001474 4.00000911 4.00000563 0.00014076 0.000000000190
4.00000911 4.00000563 4.00000348 0.00008700 0.000000000073
Root: 4.00000348
Iterations Required: 29
